,ds,y
0,1996-01-01,10.477992057800293
1,1996-01-02,10.396509170532227
2,1996-01-03,10.475443840026855
3,1996-01-04,10.378684997558594
4,1996-01-05,10.307387351989746
5,1996-01-08,9.894891738891602
6,1996-01-09,9.609704971313477
7,1996-01-10,9.362713813781738
8,1996-01-11,9.655538558959961
9,1996-01-12,9.553688049316406
10,1996-01-15,9.45438289642334
11,1996-01-16,9.472204208374023
12,1996-01-17,9.095355033874512
13,1996-01-18,8.843270301818848
14,1996-01-19,8.687946319580078
15,1996-01-22,8.835633277893066
16,1996-01-23,8.461325645446777
17,1996-01-24,8.171050071716309
18,1996-01-25,7.827301025390625
19,1996-01-26,7.827301025390625
20,1996-01-29,8.443504333496094
21,1996-01-30,9.202300071716309
22,1996-01-31,9.001141548156738
23,1996-02-01,9.362713813781738
24,1996-02-02,10.378684997558594
25,1996-02-05,11.241878509521484
26,1996-02-06,10.299751281738281
27,1996-02-07,10.490723609924316
28,1996-02-08,11.407387733459473
29,1996-02-09,12.06942367553711
30,1996-02-12,11.313177108764648
31,1996-02-13,11.993034362792969
32,1996-02-14,12.0006742477417
33,1996-02-15,11.809703826904297
34,1996-02-16,11.600905418395996
35,1996-02-19,11.718035697937012
36,1996-02-20,11.099283218383789
37,1996-02-21,11.099283218383789
38,1996-02-22,11.68493366241455
39,1996-02-23,11.56016731262207
40,1996-02-26,11.5856294631958
41,1996-02-27,11.453221321105957
42,1996-02-28,11.50924015045166
43,1996-02-29,10.788637161254883
44,1996-03-01,10.849748611450195
45,1996-03-04,10.737711906433105
46,1996-03-05,10.737711906433105
47,1996-03-06,11.119656562805176
48,1996-03-07,11.218963623046875
49,1996-03-08,11.160398483276367
50,1996-03-11,11.196043968200684
51,1996-03-12,11.771510124206543
52,1996-03-13,11.570350646972656
53,1996-03-14,11.567803382873535
54,1996-03-15,11.18840503692627
55,1996-03-18,10.67914867401123
56,1996-03-19,10.022204399108887
57,1996-03-20,10.022204399108887
58,1996-03-21,10.740260124206543
59,1996-03-22,10.304844856262207
60,1996-03-25,10.243734359741211
61,1996-03-26,10.177529335021973
62,1996-03-27,10.539101600646973
63,1996-03-28,10.676600456237793
64,1996-03-29,10.534008026123047
65,1996-04-01,10.63331413269043
66,1996-04-02,10.661325454711914
67,1996-04-03,10.750443458557129
68,1996-04-04,10.623127937316895
69,1996-04-05,10.623127937316895
70,1996-04-08,10.801368713378906
71,1996-04-09,10.81410026550293
72,1996-04-10,10.80901050567627
73,1996-04-11,10.69697093963623
74,1996-04-12,10.989795684814453
75,1996-04-15,11.272436141967773
76,1996-04-16,11.297896385192871
77,1996-04-17,11.779146194458008
78,1996-04-18,12.42590618133545
79,1996-04-19,12.504837989807129
80,1996-04-22,12.107617378234863
81,1996-04-23,12.026138305664062
82,1996-04-24,13.001365661621094
83,1996-04-25,12.33933162689209
84,1996-04-26,12.448821067810059
85,1996-04-29,12.346964836120605
86,1996-04-30,12.459006309509277
87,1996-05-01,13.548820495605469
88,1996-05-02,13.559004783630371
89,1996-05-03,13.250904083251953
90,1996-05-06,12.507387161254883
91,1996-05-07,12.660162925720215
92,1996-05-08,12.728913307189941
93,1996-05-09,12.418264389038086
94,1996-05-10,12.28840446472168
95,1996-05-13,12.548128128051758
96,1996-05-14,12.896968841552734
97,1996-05-15,12.92497730255127
98,1996-05-16,12.998821258544922
99,1996-05-17,12.741642951965332
100,1996-05-20,12.341876983642578
101,1996-05-21,12.298591613769531
102,1996-05-22,12.36479377746582
103,1996-05-23,12.262941360473633
104,1996-05-24,12.891670227050781
105,1996-05-27,12.512422561645508
106,1996-05-28,12.106657981872559
107,1996-05-29,12.796195983886719
108,1996-05-30,12.562811851501465
109,1996-05-31,12.642374992370605
110,1996-06-03,13.029576301574707
111,1996-06-04,12.843931198120117
112,1996-06-05,12.761716842651367
113,1996-06-06,12.971229553222656
114,1996-06-07,12.960618019104004
115,1996-06-10,12.843931198120117
116,1996-06-11,12.743151664733887
117,1996-06-12,12.936752319335938
118,1996-06-13,12.886363983154297
119,1996-06-14,13.02161693572998
120,1996-06-17,12.843931198120117
121,1996-06-18,12.515076637268066
122,1996-06-19,12.141132354736328
123,1996-06-20,12.159700393676758
124,1996-06-21,11.822887420654297
125,1996-06-24,11.722107887268066
126,1996-06-25,11.475467681884766
127,1996-06-26,11.25534725189209
128,1996-06-27,11.456901550292969
129,1996-06-28,11.32960319519043
130,1996-07-01,11.072352409362793
131,1996-07-02,10.838971138000488
132,1996-07-03,10.112308502197266
133,1996-07-04,10.075178146362305
134,1996-07-05,9.924010276794434
135,1996-07-08,10.000922203063965
136,1996-07-09,9.51029109954834
137,1996-07-10,9.348514556884766
138,1996-07-11,9.372380256652832
139,1996-07-12,9.022311210632324
140,1996-07-15,9.523551940917969
141,1996-07-16,11.501988410949707
142,1996-07-17,11.706195831298828
143,1996-07-18,12.271084785461426
144,1996-07-19,12.87840747833252
145,1996-07-22,12.687456130981445
146,1996-07-23,12.796195983886719
147,1996-07-24,11.549725532531738
148,1996-07-25,11.029918670654297
149,1996-07-26,11.035225868225098
150,1996-07-29,11.25534725189209
151,1996-07-30,10.958313941955566
152,1996-07-31,11.340209007263184
153,1996-08-01,11.133350372314453
154,1996-08-02,10.982183456420898
155,1996-08-05,10.812451362609863
156,1996-08-06,10.923837661743164
157,1996-08-07,11.167826652526855
158,1996-08-08,10.950359344482422
159,1996-08-09,11.037877082824707
160,1996-08-12,11.035225868225098
161,1996-08-13,11.098875045776367
162,1996-08-14,10.947709083557129
163,1996-08-15,10.947709083557129
