,ds,y
0,1996-01-01,12.65108871459961
1,1996-01-02,12.248412132263184
2,1996-01-03,11.921826362609863
3,1996-01-04,11.880607604980469
4,1996-01-05,11.81402587890625
5,1996-01-08,11.468415260314941
6,1996-01-09,12.096219062805176
7,1996-01-10,11.541346549987793
8,1996-01-11,11.982069969177246
9,1996-01-12,11.988412857055664
10,1996-01-15,12.026463508605957
11,1996-01-16,12.28011703491211
12,1996-01-17,11.77597713470459
13,1996-01-18,11.696708679199219
14,1996-01-19,11.836217880249023
15,1996-01-22,12.248412132263184
16,1996-01-23,12.378410339355469
17,1996-01-24,11.959877967834473
18,1996-01-25,12.07402229309082
19,1996-01-26,12.07402229309082
20,1996-01-29,12.625720977783203
21,1996-01-30,12.907917976379395
22,1996-01-31,12.467188835144043
23,1996-02-01,13.08547592163086
24,1996-02-02,13.98912525177002
25,1996-02-05,14.87057876586914
26,1996-02-06,14.997405052185059
27,1996-02-07,14.734245300292969
28,1996-02-08,15.152769088745117
29,1996-02-09,16.224470138549805
30,1996-02-12,15.273256301879883
31,1996-02-13,15.355692863464355
32,1996-02-14,15.805935859680176
33,1996-02-15,15.713982582092285
34,1996-02-16,15.346184730529785
35,1996-02-19,15.450820922851562
36,1996-02-20,14.968873023986816
37,1996-02-21,14.968873023986816
38,1996-02-22,15.38422966003418
39,1996-02-23,15.61252212524414
40,1996-02-26,16.027883529663086
41,1996-02-27,15.999345779418945
42,1996-02-28,16.01837158203125
43,1996-02-29,15.23837661743164
44,1996-03-01,15.425448417663574
45,1996-03-04,15.2700834274292
46,1996-03-05,15.2700834274292
47,1996-03-06,15.453985214233398
48,1996-03-07,15.355692863464355
49,1996-03-08,15.213016510009766
50,1996-03-11,14.86423397064209
51,1996-03-12,14.842041969299316
52,1996-03-13,15.197161674499512
53,1996-03-14,15.181309700012207
54,1996-03-15,14.908625602722168
55,1996-03-18,14.518633842468262
56,1996-03-19,14.122294425964355
57,1996-03-20,14.122294425964355
58,1996-03-21,14.569361686706543
59,1996-03-22,14.41082763671875
60,1996-03-25,14.50594711303711
61,1996-03-26,14.394972801208496
62,1996-03-27,14.661311149597168
63,1996-03-28,14.90545654296875
64,1996-03-29,14.927648544311523
65,1996-04-01,15.330330848693848
66,1996-04-02,15.81544303894043
67,1996-04-03,16.031049728393555
68,1996-04-04,15.983494758605957
69,1996-04-05,15.983494758605957
70,1996-04-08,16.83007049560547
71,1996-04-09,16.947385787963867
72,1996-04-10,16.67153549194336
73,1996-04-11,16.633487701416016
74,1996-04-12,17.029827117919922
75,1996-04-15,17.537134170532227
76,1996-04-16,18.01590919494629
77,1996-04-17,18.149078369140625
78,1996-04-18,19.10980224609375
79,1996-04-19,19.541019439697266
80,1996-04-22,19.35077476501465
81,1996-04-23,19.147851943969727
82,1996-04-24,20.206863403320312
83,1996-04-25,20.070524215698242
84,1996-04-26,19.72492027282715
85,1996-04-29,19.553699493408203
86,1996-04-30,18.944931030273438
87,1996-05-01,19.25565528869629
88,1996-05-02,18.875167846679688
89,1996-05-03,18.120546340942383
90,1996-05-06,17.06787109375
91,1996-05-07,17.41665267944336
92,1996-05-08,17.629087448120117
93,1996-05-09,17.337379455566406
94,1996-05-10,17.115432739257812
95,1996-05-13,17.565675735473633
96,1996-05-14,18.272737503051758
97,1996-05-15,18.39005470275879
98,1996-05-16,18.6849308013916
99,1996-05-17,18.136402130126953
100,1996-05-20,17.216896057128906
101,1996-05-21,17.13762855529785
102,1996-05-22,17.223236083984375
103,1996-05-23,16.97592544555664
104,1996-05-24,17.15348243713379
105,1996-05-27,16.563732147216797
106,1996-05-28,16.62714195251465
107,1996-05-29,17.48323631286621
108,1996-05-30,17.331039428710938
109,1996-05-31,17.59737777709961
110,1996-06-03,18.917184829711914
111,1996-06-04,18.756622314453125
112,1996-06-05,18.87543296813965
113,1996-06-06,19.485563278198242
114,1996-06-07,19.485563278198242
115,1996-06-10,19.565845489501953
116,1996-06-11,19.67823600769043
117,1996-06-12,19.854856491088867
118,1996-06-13,19.793840408325195
119,1996-06-14,19.996143341064453
120,1996-06-17,19.874122619628906
121,1996-06-18,19.84522247314453
122,1996-06-19,19.408489227294922
123,1996-06-20,19.485563278198242
124,1996-06-21,19.158023834228516
125,1996-06-24,19.36996078491211
126,1996-06-25,19.408489227294922
127,1996-06-26,19.212608337402344
128,1996-06-27,19.341060638427734
129,1996-06-28,19.222244262695312
130,1996-07-01,19.08737564086914
131,1996-07-02,19.116275787353516
132,1996-07-03,18.849746704101562
133,1996-07-04,18.88185691833496
134,1996-07-05,19.119487762451172
135,1996-07-08,20.198453903198242
136,1996-07-09,20.028261184692383
137,1996-07-10,19.27041244506836
138,1996-07-11,19.633275985717773
139,1996-07-12,19.479141235351562
140,1996-07-15,19.604379653930664
141,1996-07-16,19.527315139770508
142,1996-07-17,20.609479904174805
143,1996-07-18,20.709033966064453
144,1996-07-19,20.43929100036621
145,1996-07-22,20.580585479736328
146,1996-07-23,19.752094268798828
147,1996-07-24,18.90754508972168
148,1996-07-25,19.154813766479492
149,1996-07-26,18.573583602905273
150,1996-07-29,17.9152889251709
151,1996-07-30,17.924922943115234
152,1996-07-31,18.7951602935791
153,1996-08-01,18.319896697998047
154,1996-08-02,18.1882381439209
155,1996-08-05,18.005207061767578
156,1996-08-06,18.300634384155273
157,1996-08-07,18.573583602905273
158,1996-08-08,18.380910873413086
159,1996-08-09,18.483673095703125
160,1996-08-12,18.5125732421875
161,1996-08-13,18.522207260131836
162,1996-08-14,18.05979347229004
163,1996-08-15,18.05979347229004
