,ds,y
0,2002-07-01,-0.010457567870616913
1,2002-07-02,-0.010539909824728966
2,2002-07-03,-0.010539909824728966
3,2002-07-04,-0.010598731227219105
4,2002-07-05,-0.01057519856840372
5,2002-07-08,-0.0110398530960083
6,2002-07-09,-0.010751653462648392
7,2002-07-10,-0.010739886201918125
8,2002-07-11,-0.010563439689576626
9,2002-07-12,-0.010645780712366104
10,2002-07-15,-0.01042815949767828
11,2002-07-16,-0.01052226684987545
12,2002-07-17,-0.010439927689731121
13,2002-07-18,-0.010563439689576626
14,2002-07-19,-0.01052226684987545
15,2002-07-22,-0.010275234468281269
16,2002-07-23,-0.010275234468281269
17,2002-07-24,-0.010004682466387749
18,2002-07-25,-0.01009878795593977
19,2002-07-26,-0.00978706032037735
20,2002-07-29,-0.009545913897454739
21,2002-07-30,-0.009440043941140175
22,2002-07-31,-0.009351816028356552
23,2002-08-01,-0.009463566355407238
24,2002-08-02,-0.009369459934532642
25,2002-08-05,-0.009351816028356552
26,2002-08-06,-0.009222420863807201
27,2002-08-07,-0.009392988868057728
28,2002-08-08,-0.009251830168068409
29,2002-08-09,-0.009322408586740494
30,2002-08-12,-0.009363580495119095
31,2002-08-13,-0.009328294545412064
32,2002-08-14,-0.009234186261892319
33,2002-08-15,-0.009234186261892319
34,2002-08-16,-0.009087138809263706
35,2002-08-19,-0.009081262163817883
36,2002-08-20,-0.009075384587049484
37,2002-08-21,-0.00916360318660736
38,2002-08-22,-0.009193014353513718
39,2002-08-23,-0.009222420863807201
40,2002-08-26,-0.009193014353513718
41,2002-08-27,-0.009140080772340298
42,2002-08-28,-0.009157723747193813
43,2002-08-29,-0.009104783646762371
44,2002-08-30,-0.00912831537425518
45,2002-09-02,-0.009228299371898174
46,2002-09-03,-0.009204776026308537
47,2002-09-04,0.03648906201124191
48,2002-09-05,0.036535996943712234
49,2002-09-06,0.0364656038582325
50,2002-09-09,0.03604321554303169
51,2002-09-10,0.03604321554303169
52,2002-09-11,0.03590242937207222
53,2002-09-12,0.03578510135412216
54,2002-09-13,0.036019761115312576
55,2002-09-16,0.035714711993932724
56,2002-09-17,0.035667769610881805
57,2002-09-18,0.035550445318222046
58,2002-09-19,0.035433098673820496
59,2002-09-20,0.035315774381160736
60,2002-09-23,0.035456594079732895
61,2002-09-24,0.03449447825551033
62,2002-09-25,0.03409557789564133
63,2002-09-26,0.033907849341630936
64,2002-09-27,0.03379051759839058
65,2002-09-30,0.033110011368989944
66,2002-10-01,0.03191326931118965
67,2002-10-02,0.03191326931118965
68,2002-10-03,0.03153781220316887
69,2002-10-04,0.03142048418521881
70,2002-10-07,0.03212444484233856
71,2002-10-08,0.03400168567895889
72,2002-10-09,0.03491686284542084
73,2002-10-10,0.033907849341630936
74,2002-10-11,0.03458835184574127
75,2002-10-14,0.03444754704833031
76,2002-10-15,0.03444754704833031
77,2002-10-16,0.03425981476902962
78,2002-10-17,0.034165963530540466
79,2002-10-18,0.03397824242711067
80,2002-10-21,0.03400168567895889
81,2002-10-22,0.03395479544997215
82,2002-10-23,0.03400168567895889
83,2002-10-24,0.03254682570695877
84,2002-10-25,0.03163166344165802
85,2002-10-28,0.03132663294672966
86,2002-10-29,0.031702086329460144
87,2002-10-30,0.03181939199566841
88,2002-10-31,0.032147932797670364
89,2002-11-01,0.03203059360384941
90,2002-11-04,0.032100990414619446
91,2002-11-05,0.03193672001361847
92,2002-11-06,0.03193672001361847
93,2002-11-07,0.03273455798625946
94,2002-11-08,0.03257029131054878
95,2002-11-11,0.03425981476902962
96,2002-11-12,0.03461180999875069
97,2002-11-13,0.03503419831395149
98,2002-11-14,0.03599628061056137
99,2002-11-15,0.036911457777023315
100,2002-11-18,0.03672371804714203
101,2002-11-19,0.03672371804714203
102,2002-11-20,0.03665333241224289
103,2002-11-21,0.03634827584028244
104,2002-11-22,0.0362543947994709
105,2002-11-25,0.03613705933094025
106,2002-11-26,0.03651251271367073
107,2002-11-27,0.036606382578611374
108,2002-11-28,0.03634827584028244
109,2002-11-29,0.036324795335531235
110,2002-12-02,0.03634827584028244
111,2002-12-03,0.03594933822751045
112,2002-12-04,0.03519843891263008
113,2002-12-05,0.03604321554303169
114,2002-12-06,0.03609015792608261
115,2002-12-09,0.035667769610881805
116,2002-12-10,0.03512805327773094
117,2002-12-11,0.03529231995344162
118,2002-12-12,0.034658752381801605
119,2002-12-13,0.03489341959357262
120,2002-12-16,0.035268861800432205
121,2002-12-17,0.03430674970149994
122,2002-12-18,0.03425981476902962
123,2002-12-19,0.03461180999875069
124,2002-12-20,0.03458835184574127
125,2002-12-23,0.03437715023756027
126,2002-12-24,0.03395479544997215
127,2002-12-25,0.03395479544997215
128,2002-12-26,0.034212902188301086
129,2002-12-27,0.03409557789564133
130,2002-12-30,0.034025177359580994
131,2002-12-31,0.0338139683008194
132,2003-01-01,0.03388436511158943
133,2003-01-02,0.03397824242711067
134,2003-01-03,0.03400168567895889
135,2003-01-06,0.03376706317067146
136,2003-01-07,0.0338374562561512
137,2003-01-08,0.033720120787620544
138,2003-01-09,0.033602792769670486
139,2003-01-10,0.03348545730113983
140,2003-01-13,0.03315695375204086
141,2003-01-14,0.03348545730113983
142,2003-01-15,0.033602792769670486
143,2003-01-16,0.033368129283189774
144,2003-01-17,0.03348545730113983
145,2003-01-20,0.03329773619771004
146,2003-01-21,0.033321186900138855
147,2003-01-22,0.033321186900138855
148,2003-01-23,0.03325079753994942
149,2003-01-24,0.03268761932849884
150,2003-01-27,0.03132663294672966
151,2003-01-28,0.03205404803156853
