,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,stock_market_closed,stock_market_closed_lower,stock_market_closed_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2002-07-01,-101.48586362128907,-348.84697377116856,287.66609207807926,-101.48586362128907,-101.48586362128907,75.09078292489627,75.09078292489627,75.09078292489627,0.0,0.0,0.0,0.0,0.0,0.0,88.96272539029802,88.96272539029802,88.96272539029802,-13.871942465401744,-13.871942465401744,-13.871942465401744,0.0,0.0,0.0,-26.395080696392796
1,2002-07-02,-101.46365894799683,-334.3730618227286,283.353225814733,-101.46365894799683,-101.46365894799683,75.31406786056093,75.31406786056093,75.31406786056093,0.0,0.0,0.0,0.0,0.0,0.0,89.78659059391157,89.78659059391157,89.78659059391157,-14.472522733350628,-14.472522733350628,-14.472522733350628,0.0,0.0,0.0,-26.14959108743591
2,2002-07-03,-101.44145427470458,-345.27651147206296,283.6386064806898,-101.44145427470458,-101.44145427470458,70.94535236292121,70.94535236292121,70.94535236292121,0.0,0.0,0.0,0.0,0.0,0.0,85.92448864757975,85.92448864757975,85.92448864757975,-14.979136284658544,-14.979136284658544,-14.979136284658544,0.0,0.0,0.0,-30.49610191178337
3,2002-07-04,-101.41924960141236,-339.70963661316466,283.2595351592443,-101.41924960141236,-101.41924960141236,72.08364372989377,72.08364372989377,72.08364372989377,0.0,0.0,0.0,0.0,0.0,0.0,87.46050777239233,87.46050777239233,87.46050777239233,-15.37686404249857,-15.37686404249857,-15.37686404249857,0.0,0.0,0.0,-29.335605871518595
4,2002-07-05,-101.39704492812012,-327.27325187534507,272.199130305334,-101.39704492812012,-101.39704492812012,74.79298382257973,74.79298382257973,74.79298382257973,0.0,0.0,0.0,0.0,0.0,0.0,90.44637267526761,90.44637267526761,90.44637267526761,-15.653388852687879,-15.653388852687879,-15.653388852687879,0.0,0.0,0.0,-26.604061105540396
5,2002-07-08,-101.33043090824341,-350.79248617503765,294.9141146503941,-101.33043090824341,-101.33043090824341,73.28428268255952,73.28428268255952,73.28428268255952,0.0,0.0,0.0,0.0,0.0,0.0,88.96272539000142,88.96272539000142,88.96272539000142,-15.678442707441883,-15.678442707441883,-15.678442707441883,0.0,0.0,0.0,-28.046148225683893
6,2002-07-09,-101.30822623495118,-367.928825628406,296.14789149737413,-101.30822623495118,-101.30822623495118,74.37702257421759,74.37702257421759,74.37702257421759,0.0,0.0,0.0,0.0,0.0,0.0,89.78659059412895,89.78659059412895,89.78659059412895,-15.409568019911369,-15.409568019911369,-15.409568019911369,0.0,0.0,0.0,-26.931203660733587
7,2002-07-10,-101.28602156165894,-341.9752330049053,281.1093639066611,-101.28602156165894,-101.28602156165894,70.91832328535898,70.91832328535898,70.91832328535898,0.0,0.0,0.0,0.0,0.0,0.0,85.92448864735971,85.92448864735971,85.92448864735971,-15.006165362000722,-15.006165362000722,-15.006165362000722,0.0,0.0,0.0,-30.36769827629996
8,2002-07-11,-101.26381688836672,-343.7374789047807,295.92016353129486,-101.26381688836672,-101.26381688836672,72.98478460954124,72.98478460954124,72.98478460954124,0.0,0.0,0.0,0.0,0.0,0.0,87.4605077721396,87.4605077721396,87.4605077721396,-14.475723162598378,-14.475723162598378,-14.475723162598378,0.0,0.0,0.0,-28.279032278825483
9,2002-07-12,-101.24161221507447,-346.53215251045634,311.81928109458937,-101.24161221507447,-101.24161221507447,76.61755354390493,76.61755354390493,76.61755354390493,0.0,0.0,0.0,0.0,0.0,0.0,90.4463726750782,90.4463726750782,90.4463726750782,-13.828819131173262,-13.828819131173262,-13.828819131173262,0.0,0.0,0.0,-24.624058671169536
10,2002-07-15,-101.17499819519776,-343.43888448155536,315.30423531683925,-101.17499819519776,-101.17499819519776,77.62838949335872,77.62838949335872,77.62838949335872,0.0,0.0,0.0,0.0,0.0,0.0,88.96272538920888,88.96272538920888,88.96272538920888,-11.334335895850161,-11.334335895850161,-11.334335895850161,0.0,0.0,0.0,-23.546608701839034
11,2002-07-16,-101.15279352190554,-322.8696777552149,276.03991704425124,-101.15279352190554,-101.15279352190554,79.4099779847809,79.4099779847809,79.4099779847809,0.0,0.0,0.0,0.0,0.0,0.0,89.78659059434638,89.78659059434638,89.78659059434638,-10.376612609565482,-10.376612609565482,-10.376612609565482,0.0,0.0,0.0,-21.742815537124642
