,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,stock_market_closed,stock_market_closed_lower,stock_market_closed_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1996-01-01,-4.349627277438354,-9.398238313681238,14.879152326810765,-4.349627277438354,-4.349627277438354,7.664333159345788,7.664333159345788,7.664333159345788,0.0,0.0,0.0,0.0,0.0,0.0,6.828300398595353,6.828300398595353,6.828300398595353,0.8360327607504349,0.8360327607504349,0.8360327607504349,0.0,0.0,0.0,3.314705881907434
1,1996-01-02,-4.350086125980102,-8.77992345426496,15.486048725378925,-4.350086125980102,-4.350086125980102,7.595500939648041,7.595500939648041,7.595500939648041,0.0,0.0,0.0,0.0,0.0,0.0,6.740043411338175,6.740043411338175,6.740043411338175,0.8554575283098655,0.8554575283098655,0.8554575283098655,0.0,0.0,0.0,3.2454148136679386
2,1996-01-03,-4.35054497452185,-9.429223837799807,14.92862552291192,-4.35054497452185,-4.35054497452185,7.624133701271237,7.624133701271237,7.624133701271237,0.0,0.0,0.0,0.0,0.0,0.0,6.754473118983449,6.754473118983449,6.754473118983449,0.8696605822877884,0.8696605822877884,0.8696605822877884,0.0,0.0,0.0,3.273588726749387
3,1996-01-04,-4.351003823063597,-9.079610626966234,15.000012965195369,-4.351003823063597,-4.351003823063597,7.657918859186068,7.657918859186068,7.657918859186068,0.0,0.0,0.0,0.0,0.0,0.0,6.779336927451961,6.779336927451961,6.779336927451961,0.8785819317341057,0.8785819317341057,0.8785819317341057,0.0,0.0,0.0,3.3069150361224704
4,1996-01-05,-4.351462671605345,-8.376514241789407,15.319669204897432,-4.351462671605345,-4.351462671605345,7.645559252508494,7.645559252508494,7.645559252508494,0.0,0.0,0.0,0.0,0.0,0.0,6.763300126049512,6.763300126049512,6.763300126049512,0.8822591264589815,0.8822591264589815,0.8822591264589815,0.0,0.0,0.0,3.2940965809031484
5,1996-01-08,-4.3528392172305885,-8.494050323823632,15.40797523764204,-4.3528392172305885,-4.3528392172305885,7.69181283949196,7.69181283949196,7.69181283949196,0.0,0.0,0.0,0.0,0.0,0.0,6.828300398582814,6.828300398582814,6.828300398582814,0.8635124409091456,0.8635124409091456,0.8635124409091456,0.0,0.0,0.0,3.3389736222613715
6,1996-01-09,-4.353298065772336,-8.723440498242674,16.653952416303138,-4.353298065772336,-4.353298065772336,7.588311563099401,7.588311563099401,7.588311563099401,0.0,0.0,0.0,0.0,0.0,0.0,6.7400434113391885,6.7400434113391885,6.7400434113391885,0.848268151760212,0.848268151760212,0.848268151760212,0.0,0.0,0.0,3.2350134973270652
7,1996-01-10,-4.353756914314084,-8.348285094237749,15.56205531124272,-4.353756914314084,-4.353756914314084,7.5836078379499785,7.5836078379499785,7.5836078379499785,0.0,0.0,0.0,0.0,0.0,0.0,6.7544731189727125,6.7544731189727125,6.7544731189727125,0.8291347189772659,0.8291347189772659,0.8291347189772659,0.0,0.0,0.0,3.2298509236358948
8,1996-01-11,-4.354215762855832,-8.535974786383687,14.230598697670343,-4.354215762855832,-4.354215762855832,7.585872941353439,7.585872941353439,7.585872941353439,0.0,0.0,0.0,0.0,0.0,0.0,6.7793369274544775,6.7793369274544775,6.7793369274544775,0.8065360138989608,0.8065360138989608,0.8065360138989608,0.0,0.0,0.0,3.231657178497607
9,1996-01-12,-4.354674611397579,-8.42416629832293,14.672402373041542,-4.354674611397579,-4.354674611397579,7.544216400444876,7.544216400444876,7.544216400444876,0.0,0.0,0.0,0.0,0.0,0.0,6.763300126036742,6.763300126036742,6.763300126036742,0.7809162744081337,0.7809162744081337,0.7809162744081337,0.0,0.0,0.0,3.189541789047297
10,1996-01-15,-4.356051157022821,-8.492319135532211,15.514354564599746,-4.356051157022821,-4.356051157022821,7.51870820347784,7.51870820347784,7.51870820347784,0.0,0.0,0.0,0.0,0.0,0.0,6.8283003985860775,6.8283003985860775,6.8283003985860775,0.6904078048917639,0.6904078048917639,0.6904078048917639,0.0,0.0,0.0,3.1626570464550188
11,1996-01-16,-4.356510005564569,-9.874909334428501,15.342360265404341,-4.356510005564569,-4.356510005564569,7.397154216107642,7.397154216107642,7.397154216107642,0.0,0.0,0.0,0.0,0.0,0.0,6.740043411343434,6.740043411343434,6.740043411343434,0.6571108047642076,0.6571108047642076,0.6571108047642076,0.0,0.0,0.0,3.040644210543072
12,1996-01-17,-4.356968854106317,-9.358809811436304,15.46667739996731,-4.356968854106317,-4.356968854106317,7.377364797507987,7.377364797507987,7.377364797507987,0.0,0.0,0.0,0.0,0.0,0.0,6.754473118978121,6.754473118978121,6.754473118978121,0.6228916785298667,0.6228916785298667,0.6228916785298667,0.0,0.0,0.0,3.0203959434016694
13,1996-01-18,-4.357427702648065,-9.40238479442647,15.270724021766307,-4.357427702648065,-4.357427702648065,7.367414725387271,7.367414725387271,7.367414725387271,0.0,0.0,0.0,0.0,0.0,0.0,6.7793369274569955,6.7793369274569955,6.7793369274569955,0.5880777979302747,0.5880777979302747,0.5880777979302747,0.0,0.0,0.0,3.0099870227392067
14,1996-01-19,-4.357886551189813,-9.800478490820037,15.026538546722948,-4.357886551189813,-4.357886551189813,7.316251261708369,7.316251261708369,7.316251261708369,0.0,0.0,0.0,0.0,0.0,0.0,6.763300126020405,6.763300126020405,6.763300126020405,0.5529511356879644,0.5529511356879644,0.5529511356879644,0.0,0.0,0.0,2.9583647105185564
