,ds,y
0,1996-01-01,2.568284511566162
1,1996-01-02,2.520591974258423
2,1996-01-03,2.5212361812591553
3,1996-01-04,2.4413201808929443
4,1996-01-05,2.3929836750030518
5,1996-01-08,2.3033995628356934
6,1996-01-09,2.29244327545166
7,1996-01-10,2.280198812484741
8,1996-01-11,2.3336904048919678
9,1996-01-12,2.3246679306030273
10,1996-01-15,2.305333137512207
11,1996-01-16,2.3008220195770264
12,1996-01-17,2.2228386402130127
13,1996-01-18,2.1757912635803223
14,1996-01-19,2.1571006774902344
15,1996-01-22,2.1796579360961914
16,1996-01-23,2.093296766281128
17,1996-01-24,2.064939498901367
18,1996-01-25,2.0204696655273438
19,1996-01-26,2.0204696655273438
20,1996-01-29,2.112631320953369
21,1996-01-30,2.1306772232055664
22,1996-01-31,2.1519455909729004
23,1996-02-01,2.200282096862793
24,1996-02-02,2.3607592582702637
25,1996-02-05,2.4529213905334473
26,1996-02-06,2.2453956604003906
27,1996-02-07,2.3336904048919678
28,1996-02-08,2.672691822052002
29,1996-02-09,2.828657865524292
30,1996-02-12,2.669469118118286
31,1996-02-13,2.6707584857940674
32,1996-02-14,2.7461631298065186
33,1996-02-15,2.7081387042999268
34,1996-02-16,2.651423931121826
35,1996-02-19,2.6675350666046143
36,1996-02-20,2.5650618076324463
37,1996-02-21,2.5650618076324463
38,1996-02-22,2.6804254055023193
39,1996-02-23,2.6572227478027344
40,1996-02-26,2.6733365058898926
41,1996-02-27,2.630155563354492
42,1996-02-28,2.655935287475586
43,1996-02-29,2.4877233505249023
44,1996-03-01,2.5160810947418213
45,1996-03-04,2.503190755844116
46,1996-03-05,2.503190755844116
47,1996-03-06,2.549593448638916
48,1996-03-07,2.5309038162231445
49,1996-03-08,2.5186586380004883
50,1996-03-11,2.4703221321105957
51,1996-03-12,2.4361636638641357
52,1996-03-13,2.5328378677368164
53,1996-03-14,2.5070583820343018
54,1996-03-15,2.454209804534912
55,1996-03-18,2.353025197982788
56,1996-03-19,2.2511961460113525
57,1996-03-20,2.2511961460113525
58,1996-03-21,2.391049861907959
59,1996-03-22,2.353025197982788
60,1996-03-25,2.423274278640747
61,1996-03-26,2.4890129566192627
62,1996-03-27,2.557971954345703
63,1996-03-28,2.5889079570770264
64,1996-03-29,2.543149471282959
65,1996-04-01,2.5760183334350586
66,1996-04-02,2.5876190662384033
67,1996-04-03,2.635956287384033
68,1996-04-04,2.608242988586426
69,1996-04-05,2.608242988586426
70,1996-04-08,2.7152271270751953
71,1996-04-09,2.752607583999634
72,1996-04-10,2.806744337081909
73,1996-04-11,2.770653009414673
74,1996-04-12,2.7912771701812744
75,1996-04-15,2.78483247756958
76,1996-04-16,2.751962900161743
77,1996-04-17,2.9150187969207764
78,1996-04-18,3.0490729808807373
79,1996-04-19,3.0316712856292725
80,1996-04-22,2.9446651935577393
81,1996-04-23,2.94530987739563
82,1996-04-24,3.2353289127349854
83,1996-04-25,3.1154558658599854
84,1996-04-26,3.150256633758545
85,1996-04-29,3.1521899700164795
86,1996-04-30,3.1012754440307617
87,1996-05-01,3.165724754333496
88,1996-05-02,3.1341450214385986
89,1996-05-03,3.071629047393799
90,1996-05-06,2.9188859462738037
91,1996-05-07,2.876349449157715
92,1996-05-08,2.9233968257904053
93,1996-05-09,2.844769239425659
94,1996-05-10,2.8293018341064453
95,1996-05-13,2.8724825382232666
96,1996-05-14,2.9491770267486572
97,1996-05-15,3.0986974239349365
98,1996-05-16,3.1650800704956055
99,1996-05-17,3.1251220703125
100,1996-05-20,3.0174930095672607
101,1996-05-21,3.0174930095672607
102,1996-05-22,3.036181926727295
103,1996-05-23,3.0187814235687256
104,1996-05-24,3.0368270874023438
105,1996-05-27,2.96528959274292
106,1996-05-28,2.929842472076416
107,1996-05-29,3.107076406478882
108,1996-05-30,3.0452053546905518
109,1996-05-31,3.1231884956359863
110,1996-06-03,3.2495076656341553
111,1996-06-04,3.2308177947998047
112,1996-06-05,3.2127723693847656
113,1996-06-06,3.297844648361206
114,1996-06-07,3.279799461364746
115,1996-06-10,3.261108875274658
116,1996-06-11,3.2565970420837402
117,1996-06-12,3.3236243724823
118,1996-06-13,3.3004229068756104
119,1996-06-14,3.4099857807159424
120,1996-06-17,3.3745386600494385
121,1996-06-18,3.3642263412475586
122,1996-06-19,3.3416695594787598
123,1996-06-20,3.368093252182007
124,1996-06-21,3.316534996032715
125,1996-06-24,3.295267105102539
126,1996-06-25,3.209550142288208
127,1996-06-26,3.1695916652679443
128,1996-06-27,3.19730544090271
129,1996-06-28,3.1367218494415283
130,1996-07-01,3.0877416133880615
131,1996-07-02,3.03489351272583
132,1996-07-03,2.958198308944702
133,1996-07-04,2.9839792251586914
134,1996-07-05,2.9781792163848877
135,1996-07-08,2.9807562828063965
136,1996-07-09,2.858304023742676
137,1996-07-10,2.8608813285827637
138,1996-07-11,2.9201745986938477
139,1996-07-12,2.8641042709350586
140,1996-07-15,2.9401538372039795
141,1996-07-16,2.8499257564544678
142,1996-07-17,2.913085699081421
143,1996-07-18,3.0058913230895996
144,1996-07-19,2.965933322906494
145,1996-07-22,2.9124412536621094
146,1996-07-23,2.6191985607147217
147,1996-07-24,2.4819231033325195
148,1996-07-25,2.4645214080810547
149,1996-07-26,2.4110288619995117
150,1996-07-29,2.396850347518921
151,1996-07-30,2.3678486347198486
152,1996-07-31,2.4864351749420166
153,1996-08-01,2.4554989337921143
154,1996-08-02,2.4329416751861572
155,1996-08-05,2.425852060317993
156,1996-08-06,2.4103856086730957
157,1996-08-07,2.5296146869659424
